Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
921950,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
922250,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
922590,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
922890,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
923230,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
923530,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
923830,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
924170,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
924470,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
924810,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
925110,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
925450,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
925750,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
926090,1BFE223A,TRUE,Rx,0,8,4,1,0,0,51,0,6,0,,
926390,1BFE223B,TRUE,Rx,0,8,14,0,0,0,0,0,0,0,,
926730,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
927070,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
927370,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
999900,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
1019820,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0,,
1020120,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
1020420,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
1020720,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
1021060,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1021360,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1021660,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1022000,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
1022300,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
1022600,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
1022940,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
1023240,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1023580,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
1023880,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1024220,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
1024520,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
1024860,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
1025160,1BFE223A,TRUE,Rx,0,8,4,1,0,0,5B,0,0,0,,
1025500,1BFE223B,TRUE,Rx,0,8,0A,0,0,0,0,0,0,0,,
1025800,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
1026140,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
1026480,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1099900,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
1119780,1BFE220A,TRUE,Rx,0,8,2,2,2,2,0,0,1,2,,
1120080,1BFE2206,TRUE,Rx,0,8,46,0,0,86,0,2,2,4,,
1120380,1BFE2209,TRUE,Rx,0,8,0,0,1,0,20,30,0,0,,
1120720,1BFE220E,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1121020,1BFE220F,TRUE,Rx,0,8,0,0,0,10,10,0,0,0,,
1121360,1BFE2210,TRUE,Rx,0,8,0,0,0,10,10,0,0,0,,
1121660,1BFE2211,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
